key HBPattern1 HBPattern2 Weight
2652 BETA.FB-11.SB-11.HD1.OD1.HO6.OH-6.V10 BETA.FB11.SB-11.HD6.OD-6.HO-2.OH-4.V646 4
2653 BETA.FB-11.SB-11.HD1.OD1.HO6.OH-6.V10 BETA.FB11.SB-11.HD6.OD-6.HO-2.OH-3.V4 3
2662 BETA.FB-11.SB-11.HD1.OD1.HO6.OH-6.V10 BETA.FB11.SB-11.HD6.OD-6.HO-1.OH-3.V30 7
2663 BETA.FB-11.SB-11.HD1.OD1.HO6.OH-6.V10 BETA.FB11.SB-11.HD6.OD-6.HO-1.OH-2.V91 2
2670 BETA.FB-11.SB-11.HD1.OD1.HO6.OH-6.V10 BETA.FB11.SB-11.HD6.OD-6.HO0.OH-2.V2346 6
4160 BETA.FB-11.SB-11.HD2.OD-5.HO6.OH-6.V1 BETA.FB11.SB-11.HD6.OD-6.HO-2.OH5.V3 1
4171 BETA.FB-11.SB-11.HD2.OD-5.HO6.OH-6.V1 BETA.FB11.SB-11.HD6.OD-6.HO0.OH0.V6531 1
4178 BETA.FB-11.SB-11.HD2.OD-5.HO6.OH-6.V1 BETA.FB11.SB-11.HD6.OD-6.HO2.OH-2.V3611 1
4508 BETA.FB-11.SB-11.HD2.OD-4.HO6.OH-6.V5 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 7
4524 BETA.FB-11.SB-11.HD2.OD-4.HO6.OH-6.V5 BETA.FB-11.SB-11.HD4.OD-4.HO6.OH-6.V1151 4
4526 BETA.FB-11.SB-11.HD2.OD-4.HO6.OH-6.V5 BETA.FB-11.SB-11.HD4.OD-2.HO6.OH-6.V20 1
4552 BETA.FB-11.SB-11.HD2.OD-4.HO6.OH-6.V5 BETA.FB-11.SB-3.HD4.OD6.HO6.OH1.V75 1
4553 BETA.FB-11.SB-11.HD2.OD-4.HO6.OH-6.V5 BETA.FB-11.SB-3.HD5.OD6.HO6.OH2.V6 1
4554 BETA.FB-11.SB-11.HD2.OD-4.HO6.OH-6.V5 BETA.FB-11.SB3.HD1.OD6.HO6.OH4.V148 1
4888 BETA.FB-11.SB-11.HD2.OD-4.HO6.OH-6.V5 BETA.FB11.SB-11.HD6.OD-6.HO-4.OH2.V27 1
4890 BETA.FB-11.SB-11.HD2.OD-4.HO6.OH-6.V5 BETA.FB11.SB-11.HD6.OD-6.HO-4.OH4.V993 3
4907 BETA.FB-11.SB-11.HD2.OD-4.HO6.OH-6.V5 BETA.FB11.SB-11.HD6.OD-6.HO-2.OH2.V2744 7
4909 BETA.FB-11.SB-11.HD2.OD-4.HO6.OH-6.V5 BETA.FB11.SB-11.HD6.OD-6.HO-2.OH4.V18 14
4921 BETA.FB-11.SB-11.HD2.OD-4.HO6.OH-6.V5 BETA.FB11.SB-11.HD6.OD-6.HO0.OH0.V6531 14
4926 BETA.FB-11.SB-11.HD2.OD-4.HO6.OH-6.V5 BETA.FB11.SB-11.HD6.OD-6.HO2.OH-4.V1 3
4927 BETA.FB-11.SB-11.HD2.OD-4.HO6.OH-6.V5 BETA.FB11.SB-11.HD6.OD-6.HO2.OH-3.V132 1
4928 BETA.FB-11.SB-11.HD2.OD-4.HO6.OH-6.V5 BETA.FB11.SB-11.HD6.OD-6.HO2.OH-2.V3611 8
5258 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 107
5266 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB-11.SB-11.HD3.OD-4.HO6.OH-6.V4 1
5267 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB-11.SB-11.HD3.OD-3.HO6.OH-6.V27 2
5268 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB-11.SB-11.HD3.OD-2.HO6.OH-6.V286 6
5273 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB-11.SB-11.HD4.OD-5.HO6.OH-6.V163 116
5274 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB-11.SB-11.HD4.OD-4.HO6.OH-6.V1151 36
5276 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB-11.SB-11.HD4.OD-2.HO6.OH-6.V20 1
5283 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB-11.SB-11.HD5.OD-5.HO6.OH-6.V38 8
5284 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB-11.SB-11.HD5.OD-4.HO6.OH-6.V204 8
5286 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB-11.SB-11.HD5.OD-2.HO6.OH-6.V5 1
5299 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB-11.SB-4.HD5.OD6.HO6.OH1.V14 1
5302 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB-11.SB-3.HD4.OD6.HO6.OH1.V75 15
5304 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB-11.SB3.HD1.OD6.HO6.OH4.V148 15
5306 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB-11.SB4.HD1.OD6.HO6.OH5.V31 1
5477 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB5.SB-11.HD1.OD-6.HO-4.OH-6.V1 1
5492 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB6.SB-11.HD1.OD-6.HO-5.OH-6.V4 1
5629 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB11.SB-11.HD6.OD-6.HO-5.OH2.V7 1
5630 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB11.SB-11.HD6.OD-6.HO-5.OH3.V4 1
5631 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB11.SB-11.HD6.OD-6.HO-5.OH4.V196 7
5632 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB11.SB-11.HD6.OD-6.HO-5.OH5.V46 16
5638 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB11.SB-11.HD6.OD-6.HO-4.OH2.V27 3
5639 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB11.SB-11.HD6.OD-6.HO-4.OH3.V8 1
5640 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB11.SB-11.HD6.OD-6.HO-4.OH4.V993 33
5641 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB11.SB-11.HD6.OD-6.HO-4.OH5.V194 87
5645 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB11.SB-11.HD6.OD-6.HO-3.OH0.V3 1
5647 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB11.SB-11.HD6.OD-6.HO-3.OH2.V316 13
5648 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB11.SB-11.HD6.OD-6.HO-3.OH3.V40 3
5649 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB11.SB-11.HD6.OD-6.HO-3.OH4.V5 1
5655 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB11.SB-11.HD6.OD-6.HO-2.OH0.V5 1
5657 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB11.SB-11.HD6.OD-6.HO-2.OH2.V2744 78
5658 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB11.SB-11.HD6.OD-6.HO-2.OH3.V352 355
5659 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB11.SB-11.HD6.OD-6.HO-2.OH4.V18 15
5664 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB11.SB-11.HD6.OD-6.HO-1.OH0.V275 1
5665 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB11.SB-11.HD6.OD-6.HO-1.OH1.V19 1
5671 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB11.SB-11.HD6.OD-6.HO0.OH0.V6531 333
5672 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB11.SB-11.HD6.OD-6.HO0.OH1.V314 15
5677 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB11.SB-11.HD6.OD-6.HO2.OH-3.V132 205
5678 BETA.FB-11.SB-11.HD2.OD-3.HO6.OH-6.V223 BETA.FB11.SB-11.HD6.OD-6.HO2.OH-2.V3611 273
6009 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB-11.SB-11.HD2.OD-1.HO6.OH-6.V5 3
6015 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB-11.SB-11.HD3.OD-5.HO6.OH-6.V1 2
6016 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB-11.SB-11.HD3.OD-4.HO6.OH-6.V4 3
6017 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB-11.SB-11.HD3.OD-3.HO6.OH-6.V27 24
6018 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB-11.SB-11.HD3.OD-2.HO6.OH-6.V286 262
6023 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB-11.SB-11.HD4.OD-5.HO6.OH-6.V163 209
6024 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB-11.SB-11.HD4.OD-4.HO6.OH-6.V1151 2056
6025 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB-11.SB-11.HD4.OD-3.HO6.OH-6.V8 6
6026 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB-11.SB-11.HD4.OD-2.HO6.OH-6.V20 10
6027 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB-11.SB-11.HD4.OD-1.HO6.OH-6.V7 3
6033 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB-11.SB-11.HD5.OD-5.HO6.OH-6.V38 41
6034 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB-11.SB-11.HD5.OD-4.HO6.OH-6.V204 236
6035 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB-11.SB-11.HD5.OD-3.HO6.OH-6.V3 2
6036 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB-11.SB-11.HD5.OD-2.HO6.OH-6.V5 3
6042 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB-11.SB-8.HD5.OD6.HO6.OH-3.V2 1
6047 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB-11.SB-6.HD5.OD6.HO6.OH-1.V3 4
6049 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB-11.SB-4.HD5.OD6.HO6.OH1.V14 20
6052 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB-11.SB-3.HD4.OD6.HO6.OH1.V75 107
6053 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB-11.SB-3.HD5.OD6.HO6.OH2.V6 8
6054 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB-11.SB3.HD1.OD6.HO6.OH4.V148 104
6055 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB-11.SB3.HD2.OD6.HO6.OH5.V8 5
6056 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB-11.SB4.HD1.OD6.HO6.OH5.V31 28
6227 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB5.SB-11.HD1.OD-6.HO-4.OH-6.V1 1
6242 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB6.SB-11.HD1.OD-6.HO-5.OH-6.V4 4
6289 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB8.SB-11.HD3.OD-6.HO-5.OH-6.V1 1
6378 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB11.SB-11.HD6.OD-6.HO-5.OH1.V1 1
6379 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB11.SB-11.HD6.OD-6.HO-5.OH2.V7 5
6380 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB11.SB-11.HD6.OD-6.HO-5.OH3.V4 3
6381 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB11.SB-11.HD6.OD-6.HO-5.OH4.V196 229
6382 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB11.SB-11.HD6.OD-6.HO-5.OH5.V46 51
6387 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB11.SB-11.HD6.OD-6.HO-4.OH1.V6 3
6388 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB11.SB-11.HD6.OD-6.HO-4.OH2.V27 16
6389 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB11.SB-11.HD6.OD-6.HO-4.OH3.V8 6
6390 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB11.SB-11.HD6.OD-6.HO-4.OH4.V993 1754
6391 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB11.SB-11.HD6.OD-6.HO-4.OH5.V194 310
6395 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB11.SB-11.HD6.OD-6.HO-3.OH0.V3 2
6396 BETA.FB-11.SB-11.HD2.OD-2.HO6.OH-6.V3159 BETA.FB11.SB-11.HD6.OD-6.HO-3.OH1.V1 1
